File,BJD,Flux_Star_1,Flux_err_Star_1,Minst_Star_1,Minst_err_Star_1,Star_1_x,Star_1_y,Flux_Star_2,Flux_err_Star_2,Minst_Star_2,Minst_err_Star_2,Star_2_x,Star_2_y,Flux_Star_3,Flux_err_Star_3,Minst_Star_3,Minst_err_Star_3,Star_3_x,Star_3_y,Flux_Star_4,Flux_err_Star_4,Minst_Star_4,Minst_err_Star_4,Star_4_x,Star_4_y,Flux_Star_5,Flux_err_Star_5,Minst_Star_5,Minst_err_Star_5,Star_5_x,Star_5_y,Flux_Star_6,Flux_err_Star_6,Minst_Star_6,Minst_err_Star_6,Star_6_x,Star_6_y,Flux_Star_7,Flux_err_Star_7,Minst_Star_7,Minst_err_Star_7,Star_7_x,Star_7_y
WASP36B.2025-02-17.0143_reduced.fits,2460724.598553592,282335.75842951227,549.717355404759,-8.18668656725646,0.0021139654377001185,497,399,54379.24466454519,273.17704400534984,-6.398354779563689,0.0054542538943868875,636,436,522339.1591093691,736.5539211166249,-8.85465331628134,0.0015310038410224541,492,609,167998.3413285291,433.49595150360665,-7.623034337100705,0.00280158866713533,501,272,93094.4428160151,335.9317057850776,-6.982081244761185,0.003917883863571172,493,233,312700.62924188894,576.5770167916689,-8.297593740277893,0.0020019484561954676,379,331,46964.63837715432,255.5563027822671,-6.239199309018279,0.005907992478439058,400,354
WASP36B.2025-02-17.0144_reduced.fits,2460724.600320609,279967.4647434795,546.2031467705547,-8.177540763722014,0.0021182194586252235,497,399,54518.39588234505,270.44456278606395,-6.401129524665094,0.005385915129096833,636,436,523143.8690505371,736.2107723442837,-8.856324702361192,0.0015279366483217187,492,609,167511.79869756856,431.28704171556535,-7.619885357341988,0.00279540879791422,501,272,94850.12205612958,336.62048073826304,-7.002366587583002,0.003853248000928639,493,233,311557.2814268302,574.2654246045294,-8.293616616450407,0.0020012395787333496,379,331,47457.258544672484,254.27641498990516,-6.250528469338169,0.00581738427875613,400,354
WASP36B.2025-02-17.0145_reduced.fits,2460724.6020874754,281654.1114638282,549.5833535388948,-8.184062090508291,0.002118565006448334,497,399,54896.78676058514,274.5391685854183,-6.408639164625059,0.005429773444798377,636,436,523964.99163173646,737.7559848149119,-8.85802752950968,0.0015287440874552154,492,609,166990.30719508004,432.50601038473116,-7.616500011459428,0.0028120640181925082,501,272,94204.44416434443,337.75182943249564,-6.994950330959879,0.0038926973423717647,493,233,314338.6108448231,578.1058136916149,-8.30326617626136,0.001996797054040558,379,331,46434.622422807864,254.1885459135344,-6.226876648581763,0.005943446780297088,400,354
WASP36B.2025-02-17.0146_reduced.fits,2460724.6038612514,281302.1783456366,548.4493112455549,-8.182704590521992,0.00211683847311805,497,399,53643.47204513781,269.46006454793877,-6.383564051281201,0.00545383318160289,636,436,519464.12295081856,733.877661819371,-8.848660747769745,0.0015338836930148736,492,609,167157.01798037626,431.6387554293623,-7.617583389578604,0.00280362637362564,501,272,93053.03817222292,334.9763501317369,-6.98159824578303,0.003908480133691417,493,233,314452.4144202199,577.56535654394,-8.303659186525257,0.001994208310882254,379,331,47019.95717573459,254.50446427034547,-6.240477425479918,0.005876753781338781,400,354
WASP36B.2025-02-17.0147_reduced.fits,2460724.605630525,273117.14035913267,537.459041698029,-8.150644243773836,0.0021365877636930464,497,399,53121.16082444014,263.12211594888555,-6.372940744453304,0.005377917257915689,636,436,506635.1529180228,722.6593133616931,-8.821510152498632,0.0015486832599422825,492,609,162626.41914868346,422.4343210515995,-7.587749600931376,0.0028202812242874983,501,272,91172.26749194958,327.4353971611125,-6.959428742403456,0.0038993048565844667,493,233,304807.6968953877,565.962428323941,-8.269836675999764,0.0020159789441768156,379,331,46600.91108429009,247.90228971929378,-6.230757871286001,0.005775777445720652,400,354
WASP36B.2025-02-17.0148_reduced.fits,2460724.607429023,280361.5439707976,546.7124841200294,-8.179067959881888,0.00211721454089366,497,399,55294.20313933953,271.9951534000585,-6.4164708616099695,0.005340794672833984,636,436,521506.9157709751,734.9268055796488,-8.852922032451533,0.0015300595572839636,492,609,165953.6625226074,429.36051134876993,-7.6097389561959305,0.0028090507011336247,501,272,92788.99490998051,333.34468660487994,-6.9785130285413945,0.003900509917817219,493,233,312993.2674225913,575.5979790127132,-8.298609341972409,0.0019966805367603413,379,331,47398.7165343266,253.9840027546394,-6.249188307305172,0.005817871186878926,400,354
WASP36B.2025-02-17.0149_reduced.fits,2460724.609200588,280676.9685606571,546.0168415248756,-8.180288795619596,0.002112144278496876,497,399,54978.98620147454,269.32768863905454,-6.410263670614473,0.005318737988868256,636,436,521200.745765439,733.8030853469257,-8.852284423500073,0.0015286174921993125,492,609,168776.22480338387,431.7588323066264,-7.628050023192633,0.002777501372041588,501,272,94435.0373799848,334.4951177434575,-6.997604743763031,0.0038457490961493345,493,233,312975.76756542333,574.6197190621189,-8.2985486353641,0.001993398523491991,379,331,47171.95586823695,251.24197822502893,-6.243981561269136,0.005782726344354199,400,354
WASP36B.2025-02-17.0150_reduced.fits,2460724.610998125,277558.2161134437,541.0251125702245,-8.168157071324394,0.0021163507988563686,497,399,54002.451000952264,263.87509849918257,-6.390805531178968,0.005305291568518399,636,436,513985.68633595324,727.4809461675628,-8.837149414285426,0.0015367206179542447,492,609,166018.34034986672,425.588123295089,-7.610162022352,0.0027832854659477126,501,272,93861.37765766698,330.3275415268355,-6.990989163146485,0.003821045250076125,493,233,309428.00260539365,569.4648786448665,-8.286170887135482,0.001998166393722986,379,331,47948.516269718704,249.71145773227246,-6.261709784368193,0.005654414182031333,400,354
WASP36B.2025-02-17.0151_reduced.fits,2460724.612769806,282834.9468175881,553.059922484457,-8.188604525996494,0.0021230657243688205,497,399,55384.93722784186,279.67926736925676,-6.418251021929881,0.005482680336963223,636,436,524905.577311156,739.7707781315639,-8.85997482068137,0.0015301721904993403,492,609,167949.13530163292,436.7234469485793,-7.62271628282739,0.0028232741833844294,501,272,94203.32349350625,342.46763501248097,-6.9949374147949275,0.0039470954580129525,493,233,314847.55341902684,580.7343387395899,-8.305022659575387,0.002002633624015134,379,331,46212.52633980119,259.01619170574656,-6.221671130152063,0.006085433522626827,400,354
WASP36B.2025-02-17.0152_reduced.fits,2460724.614564484,266289.6915919759,531.6725480425471,-8.1231577390611,0.0021677749935972122,497,399,51814.6837965044,260.9409568595471,-6.345903982810067,0.005467813820486013,636,436,492712.33774590667,713.3298884013037,-8.79125544572759,0.0015718869336955339,492,609,159118.38165274673,418.51052193374016,-7.56407273499752,0.0028556853143927078,501,272,88682.23985434059,323.5852128196124,-6.9293634863383655,0.00396165209020058,493,233,297909.945916937,560.3179111758922,-8.244984359011518,0.0020420850350116792,379,331,44550.64009539658,244.10893256091944,-6.18190672306304,0.005949138001580301,400,354
