File,Star_1_x,Star_1_y,Star_1_flux,Star_1_noise,Star_2_x,Star_2_y,Star_2_flux,Star_2_noise,Star_3_x,Star_3_y,Star_3_flux,Star_3_noise
WASP36B.2025-02-17.0133_reduced.fits,543,406,699891.4248453252,644.4683762676389,555,570,31169.002933932945,308.5084535969362,683,441,128013.87676212839,430.768050960142
WASP36B.2025-02-17.0150_reduced.fits,543,406,711223.531896928,636.3860232604487,555,570,35065.447428708816,304.9317960724458,683,441,131916.8529641379,410.8807766953197
WASP36B.2025-02-17.0142_reduced.fits,543,406,468653.84839273593,539.9962708646026,555,570,3023.0898342675423,91.60798630650179,683,441,72968.1526493913,338.0532139733529
WASP36B.2025-02-17.0145_reduced.fits,543,406,675830.4319449101,630.3549083219089,555,570,31279.65443914335,302.6266385482683,683,441,124314.32796872439,411.88251728705234
WASP36B.2025-02-17.0148_reduced.fits,543,406,683176.92050161,628.1800454352075,555,570,32459.21994247416,303.34672298620654,683,441,128578.82658082244,413.79335143784255
WASP36B.2025-02-17.0139_reduced.fits,543,406,259864.81098496652,392.8561827338324,555,570,640.8309285773363,45.33673953115878,683,441,7409.39816617439,108.77977688981132
WASP36B.2025-02-17.0193_reduced.fits,543,406,635385.2949796452,609.4841763938758,555,570,28102.69735125824,285.1574427025057,683,441,117480.38691340933,411.0180934210192
WASP36B.2025-02-17.0194_reduced.fits,543,406,629138.4145887765,612.051846273335,555,570,28245.419754352777,288.4132713983985,683,441,111887.45995378954,399.4832926713303
WASP36B.2025-02-17.0181_reduced.fits,543,406,678545.3371673934,620.9784124598592,555,570,34349.189385596954,313.31799455901046,683,441,128085.1774311543,415.755397217116
WASP36B.2025-02-17.0179_reduced.fits,543,406,640972.0169020055,611.1734918022859,555,570,27661.64861048624,281.65699234842725,683,441,118085.74615058466,406.8397987932273
WASP36B.2025-02-17.0186_reduced.fits,543,406,572605.529639216,585.4747594301549,555,570,24053.31264598733,276.0006094883255,683,441,104768.96521384326,396.17314100218186
WASP36B.2025-02-17.0149_reduced.fits,543,406,697497.99766573,633.8177780082355,555,570,32429.881635344427,291.09035753025387,683,441,131549.20186024322,419.4742539916052
WASP36B.2025-02-17.0187_reduced.fits,543,406,610738.998236033,601.9513778713628,555,570,22861.909567278955,258.1555865147163,683,441,106621.24391742605,387.7702665086888
WASP36B.2025-02-17.0178_reduced.fits,543,406,657437.377285507,619.0782433362242,555,570,33272.47203680241,321.2846538418605,683,441,120116.56006621823,409.9814952602229
WASP36B.2025-02-17.0180_reduced.fits,543,406,664300.7200888253,625.5022591906436,555,570,31009.847414890188,308.4058757382164,683,441,121349.64058342815,417.12914454744345
WASP36B.2025-02-17.0195_reduced.fits,543,406,585111.6936766569,586.3229313890749,555,570,21588.78746030956,246.413239972993,683,441,100537.15670944918,372.86103383478957
WASP36B.2025-02-17.0192_reduced.fits,543,406,618764.7638386289,605.9199952303516,555,570,29505.76371629395,307.5095561991013,683,441,109684.41923550158,391.5637123811366
WASP36B.2025-02-17.0138_reduced.fits,543,406,544770.8548903103,571.8550255232949,555,570,8332.59533814463,157.80039702861617,683,441,83737.27522396613,354.2979635152604
WASP36B.2025-02-17.0159_reduced.fits,543,406,703171.4761467525,643.9914675370636,555,570,31397.7138628422,290.42606965377985,683,441,129811.47702849375,416.5210096317698
WASP36B.2025-02-17.0182_reduced.fits,543,406,644803.8416610158,606.3652840474568,555,570,30912.608377641936,302.39740242543655,683,441,121123.55909511309,408.2203238382136
WASP36B.2025-02-17.0185_reduced.fits,543,406,597312.5903317564,585.5191762421969,555,570,29766.523394334792,298.66556822028014,683,441,109216.10548231064,386.66368769104093
WASP36B.2025-02-17.0190_reduced.fits,543,406,632315.2610383682,611.522127411157,555,570,29798.91273200582,310.6151482121225,683,441,113755.00084163097,400.3416275934403
WASP36B.2025-02-17.0168_reduced.fits,543,406,676488.5858440449,626.2008941551991,555,570,30149.850081154542,280.05758673488015,683,441,123858.16421255202,398.19797888126413
WASP36B.2025-02-17.0158_reduced.fits,543,406,697909.2123185762,643.8904875991188,555,570,29327.593702560996,272.92778099224165,683,441,120404.43872929193,394.28697611025177
WASP36B.2025-02-17.0169_reduced.fits,543,406,629621.0784103743,603.221527414077,555,570,27586.15702686044,275.0728706395908,683,441,116055.08672365872,392.24440810896573
WASP36B.2025-02-17.0196_reduced.fits,543,406,650226.2359434122,618.3924815225098,555,570,27058.648092879725,271.38786158961113,683,441,124935.26887158502,425.1805476013166
