File,Date-Obs,Star_1_x,Star_1_y,Star_1_flux,Star_1_noise,Star_2_x,Star_2_y,Star_2_flux,Star_2_noise,Star_3_x,Star_3_y,Star_3_flux,Star_3_noise,Star_4_x,Star_4_y,Star_4_flux,Star_4_noise,Star_5_x,Star_5_y,Star_5_flux,Star_5_noise
WASP36B.2025-02-17.0161_reduced.fits,2025-02-18T03:00:30.639,543,406,262300.75013681327,568.925706348896,642,566,38687.843177679795,292.7729222438837,683,441,48570.71039671725,311.75795977552474,328,384,41665.40486652715,301.80259622106655,871,274,36890.92157426551,285.5307356452249
WASP36B.2025-02-17.0134_reduced.fits,2025-02-18T01:49:38.284,543,406,262429.7860318606,571.833755360692,642,566,39080.356040694365,308.02021901247264,683,441,47076.1143637494,320.73698515067866,328,384,40573.55269747255,302.63365507137274,871,274,35782.81435719986,291.89418729472646
WASP36B.2025-02-17.0166_reduced.fits,2025-02-18T03:13:17.411,543,406,255386.82376944573,562.1080375200609,642,566,38662.3532631255,299.4593958243948,683,441,47445.47332166993,315.0494198354038,328,384,41619.20830649975,308.259705749213,871,274,36901.778446978744,295.158038682324
WASP36B.2025-02-17.0133_reduced.fits,2025-02-18T01:47:05.012,543,406,258959.79383205652,572.2842713485583,642,566,36414.84088947906,302.34723917493903,683,441,47365.146586682335,328.547970107701,328,384,38638.11915263893,303.3858220727043,871,274,35744.314508176256,295.8969045548311
WASP36B.2025-02-17.0150_reduced.fits,2025-02-18T02:31:24.823,543,406,263152.67626324744,570.3730994740135,642,566,40303.91599425891,306.1188558000806,683,441,48809.22138682535,318.4603148531203,328,384,42590.387155972574,308.54195485459627,871,274,38377.1004679784,296.30474631235217
WASP36B.2025-02-17.0142_reduced.fits,2025-02-18T02:10:56.187,543,406,165999.97445760763,463.2734500748862,642,566,12814.708917158314,180.9471945938141,683,441,23661.985660151408,235.68086677304268,328,384,17021.436483074333,208.14733209396633,871,274,21615.033083595466,247.93021137413263
WASP36B.2025-02-17.0145_reduced.fits,2025-02-18T02:18:34.929,543,406,250057.28092081318,560.9111682422309,642,566,37117.008955457415,303.50621262617693,683,441,45996.31189073093,316.54105090081305,328,384,41822.5588077691,317.50119152192246,871,274,35654.46325066757,295.74503692813204
WASP36B.2025-02-17.0148_reduced.fits,2025-02-18T02:26:16.447,543,406,252775.55468358676,561.2025935648661,642,566,37939.59164159939,302.23240978374747,683,441,47574.130283632534,319.02359677348744,328,384,42015.47539032795,316.5483155346602,871,274,36918.69528759572,300.538738218033
WASP36B.2025-02-17.0139_reduced.fits,2025-02-18T02:02:26.767,543,406,96149.97736963422,348.7932992645175,642,566,1417.8846051709004,61.71827932530602,683,441,2741.473085335049,82.01773435164928,328,384,507.3942859863132,36.11760538234567,871,274,1118.600597948528,52.08430534321824
WASP36B.2025-02-17.0193_reduced.fits,2025-02-18T04:22:16.948,543,406,235092.51731828347,543.0230678902356,642,566,34164.51641559494,290.4840886647881,683,441,43467.728593188156,313.7941056495754,328,384,37146.27214818711,298.2564932489177,871,274,33116.64882635251,287.29088228762413
WASP36B.2025-02-17.0194_reduced.fits,2025-02-18T04:24:50.026,543,406,232781.21187290267,543.096684038163,642,566,33206.70698064529,286.0577250614389,683,441,41398.38311123767,305.3015668616725,328,384,35263.14847191261,288.2505445372559,871,274,32284.747214096576,281.62543925512125
WASP36B.2025-02-17.0181_reduced.fits,2025-02-18T03:51:37.792,543,406,251061.7760388508,556.8179449774605,642,566,37607.653979598195,301.68276692858984,683,441,47391.520847008884,319.9852074615913,328,384,41356.836988750256,315.5062561443958,871,274,36948.93778400855,297.92549639291224
WASP36B.2025-02-17.0179_reduced.fits,2025-02-18T03:46:31.055,543,406,237159.65052228022,544.9231005058605,642,566,35588.60001170129,298.31767948580074,683,441,43691.73039886686,311.6032225137579,328,384,36205.27565688894,288.5020216193161,871,274,32356.435567203036,284.5676556706392
WASP36B.2025-02-17.0186_reduced.fits,2025-02-18T04:04:24.320,543,406,211864.0373266729,518.8972064596294,642,566,29127.10427544405,274.5144039288629,683,441,38764.500390487716,300.95708000883167,328,384,33916.93396140912,295.5025750200847,871,274,28037.61475175321,268.09962148989035
WASP36B.2025-02-17.0149_reduced.fits,2025-02-18T02:28:49.513,543,406,258074.25978791236,566.6075743059092,642,566,272.12892936965426,32.698869429051925,683,441,48673.194002413424,323.21709930356513,328,384,41889.093618732164,309.98551358634865,871,274,37685.659658205856,300.48861943130055
WASP36B.2025-02-17.0187_reduced.fits,2025-02-18T04:06:57.186,543,406,225973.36800235932,534.5604764149696,642,566,32892.988493525045,288.2871447798923,683,441,39449.8617475305,296.7695685784022,328,384,35681.10592357837,298.4726851919117,871,274,31869.01028488117,285.11122830244716
WASP36B.2025-02-17.0178_reduced.fits,2025-02-18T03:43:57.695,543,406,243251.7851777615,551.9306970857288,642,566,35576.27423024292,296.95795153483607,683,441,44443.11789859582,314.07808410211624,328,384,38151.34262606747,299.9366703873037,871,274,35948.00304482852,301.57422832871055
WASP36B.2025-02-17.0180_reduced.fits,2025-02-18T03:49:04.921,543,406,245791.278164528,556.3795905404965,642,566,35058.02937473503,294.7349538003418,683,441,44899.34552518678,318.57892575867686,328,384,37972.212788819794,300.9650536828868,871,274,34281.071689104014,292.05247503400835
WASP36B.2025-02-17.0195_reduced.fits,2025-02-18T04:27:22.819,543,406,216491.30909560606,521.8116598691556,642,566,30718.323567041392,274.5090216930569,683,441,37198.75032362223,286.06927438552367,328,384,34045.05823817086,284.73355801470655,871,274,31039.761502361533,280.82911077107633
WASP36B.2025-02-17.0192_reduced.fits,2025-02-18T04:19:44.489,543,406,228942.8884112387,538.0720309460874,642,566,32890.481219517846,286.89699098939127,683,441,40583.21436091789,300.00436093524854,328,384,35200.34196085257,289.52142761380037,871,274,30640.212409227024,275.8154799238675
WASP36B.2025-02-17.0138_reduced.fits,2025-02-18T01:59:54.249,543,406,203220.5853486759,508.93681791404435,642,566,24060.2219448945,248.03894286102638,683,441,30988.90860220749,269.14204334472004,328,384,31055.403215722283,285.0822557921482,871,274,26084.11236382363,265.9341869479391
WASP36B.2025-02-17.0159_reduced.fits,2025-02-18T02:55:25.096,543,406,260173.26875537497,572.6479503357191,642,566,37654.669569864505,299.10756123311074,683,441,48030.18434702021,320.9816139504706,328,384,41426.56953607478,313.0810692910713,871,274,38199.91355349252,305.28499095225965
WASP36B.2025-02-17.0182_reduced.fits,2025-02-18T03:54:11.585,543,406,238577.4005112281,543.2960398563512,642,566,36009.04067051773,296.34389530994616,683,441,44815.71002687917,313.40157611117854,328,384,36881.15620272552,286.90612185718845,871,274,33982.177832028356,284.62311686434003
WASP36B.2025-02-17.0185_reduced.fits,2025-02-18T04:01:52.049,543,406,221005.6377165793,523.842033058317,642,566,31401.853333934087,274.30210649064173,683,441,40409.94771561733,297.04406351538023,328,384,35146.05652582256,289.4276621411696,871,274,30085.733713852896,265.9646169603168
