File,Star_1_x,Star_1_y,Star_1_flux,Star_2_x,Star_2_y,Star_2_flux,Star_3_x,Star_3_y,Star_3_flux,Star_4_x,Star_4_y,Star_4_flux,Star_5_x,Star_5_y,Star_5_flux
WASP36B.2025-02-17.0169_reduced.fits,543,406,629621.0784103743,683,441,116055.08672365872,555,570,27586.15702686044,621,527,28847.343745270813,642,566,94039.55693360207
WASP36B.2025-02-17.0196_reduced.fits,543,406,650226.2359434122,683,441,124935.26887158502,555,570,27058.648092879725,621,527,0.0,642,566,93757.61524882805
WASP36B.2025-02-17.0191_reduced.fits,543,406,607859.5136213646,683,441,108912.54186357734,555,570,21906.768266911804,621,527,22188.859055690515,642,566,86012.66976730395
WASP36B.2025-02-17.0184_reduced.fits,543,406,646326.4604094366,683,441,116724.59133525303,555,570,26565.090099571273,621,527,27107.256099371054,642,566,92024.73913530196
WASP36B.2025-02-17.0183_reduced.fits,543,406,682721.4958724744,683,441,129798.34252189576,555,570,32921.859876560666,621,527,34366.14318849502,642,566,104951.97031616107
WASP36B.2025-02-17.0189_reduced.fits,543,406,640907.2596608934,683,441,116635.90793897191,555,570,29501.848131792725,621,527,25684.993091909204,642,566,90168.66380395931
WASP36B.2025-02-17.0176_reduced.fits,543,406,622087.802030189,683,441,113180.71879469791,555,570,26955.845946394133,621,527,28076.728245092057,642,566,90668.10658042408
WASP36B.2025-02-17.0171_reduced.fits,543,406,682614.0124188125,683,441,124773.60170011735,555,570,30181.751511346018,621,527,32414.4216702464,642,566,99162.4727434944
WASP36B.2025-02-17.0131_reduced.fits,543,406,663961.4541319292,683,441,118690.39762804982,555,570,25350.34976976307,621,527,32207.508228584975,642,566,93010.3695484839
WASP36B.2025-02-17.0164_reduced.fits,543,406,695921.6388362317,683,441,128968.58515128506,555,570,33152.96934369846,621,527,34301.19244322456,642,566,103038.46087402622
WASP36B.2025-02-17.0163_reduced.fits,543,406,668533.6179596458,683,441,124998.27944873027,555,570,31001.43360515016,621,527,32601.48920643736,642,566,100805.74260067599
WASP36B.2025-02-17.0155_reduced.fits,543,406,640312.9353298343,683,441,115981.8341831611,555,570,23610.766966547686,621,527,30930.066670550594,642,566,98203.15906720616
WASP36B.2025-02-17.0152_reduced.fits,543,406,653611.365060824,683,441,124561.2319886903,555,570,32259.478265511116,621,527,34223.11893671896,642,566,98654.89625433537
WASP36B.2025-02-17.0147_reduced.fits,543,406,698099.9973108466,683,441,128737.56489187226,555,570,30728.924810956014,621,527,35062.1964339599,642,566,104582.36495760622
WASP36B.2025-02-17.0140_reduced.fits,543,406,421551.2593257137,683,441,77259.55724642926,555,570,593.4055476571777,621,527,1964.9749086741858,642,566,54285.993924275754
WASP36B.2025-02-17.0162_reduced.fits,543,406,713597.4833414454,683,441,133681.34329244783,555,570,33737.467515800614,621,527,36584.28570599196,642,566,107473.79178449778
WASP36B.2025-02-17.0165_reduced.fits,543,406,699694.2917870268,683,441,131384.26738792326,555,570,35018.33473249465,621,527,34068.5173843324,642,566,102772.39568490523
WASP36B.2025-02-17.0130_reduced.fits,543,406,727361.7014234327,683,441,131711.5102063593,555,570,35987.71222346596,621,527,37072.4157983069,642,566,105163.56697675912
WASP36B.2025-02-17.0170_reduced.fits,543,406,584239.5660469853,683,441,107167.08646593725,555,570,23570.948045132413,621,527,25820.372483983236,642,566,79773.23944877257
WASP36B.2025-02-17.0177_reduced.fits,543,406,644059.31279464,683,441,117169.02282700741,555,570,30146.088542667272,621,527,31858.489261699335,642,566,92123.03418888107
WASP36B.2025-02-17.0188_reduced.fits,543,406,619044.9093228731,683,441,109227.98217294588,555,570,23502.988423123825,621,527,24513.946441894113,642,566,90965.32408918285
WASP36B.2025-02-17.0141_reduced.fits,543,406,226252.3310964995,683,441,40949.914843346574,555,570,662.776138996676,621,527,2597.8149326612065,642,566,30308.543344238973
WASP36B.2025-02-17.0146_reduced.fits,543,406,673934.6535810098,683,441,121705.84361408456,555,570,27629.257949968996,621,527,30173.110794749133,642,566,100050.50992085169
WASP36B.2025-02-17.0153_reduced.fits,543,406,681688.0321574585,683,441,126831.80896796103,555,570,34817.995678543666,621,527,34295.69672184127,642,566,100899.45210381252
WASP36B.2025-02-17.0154_reduced.fits,543,406,656113.5265665514,683,441,118107.5150869747,555,570,26939.888228407457,621,527,33676.57259359105,642,566,95471.97392620682
