File,Star_1_x,Star_1_y,Star_1_flux,Star_1_noise,Star_2_x,Star_2_y,Star_2_flux,Star_2_noise,Star_3_x,Star_3_y,Star_3_flux,Star_3_noise,Star_4_x,Star_4_y,Star_4_flux,Star_4_noise
WASP36B.2025-02-17.0180_reduced.fits,543,406,1638.6084428857691,384.18031561928694,446,362,271.09028623798037,347.3970539901836,541,616,2953.308544159225,383.5163180097788,683,441,299.32911343912275,360.3265131827143
WASP36B.2025-02-17.0195_reduced.fits,543,406,1443.275511069087,359.38098679425445,446,362,234.06266718821274,325.6564061328502,541,616,2629.1421020605717,363.5450578553286,683,441,247.99165321664128,320.0267585370496
WASP36B.2025-02-17.0192_reduced.fits,543,406,1526.2864174686179,374.41206919728876,446,362,242.09649149371836,331.223529268877,541,616,2808.0009481980815,383.32682998169673,683,441,270.5549007809039,336.7289450170255
WASP36B.2025-02-17.0138_reduced.fits,543,406,1343.7681087294322,356.6941791451633,446,362,207.44992824512187,319.9634111187708,541,616,2262.057238345127,342.34826358647393,683,441,206.55194555244978,308.3470303874263
WASP36B.2025-02-17.0159_reduced.fits,543,406,1734.4896411619893,395.99575788354633,446,362,284.53811235416214,344.78067248084557,541,616,3144.0442187790295,383.7649044068485,683,441,320.20164333695124,355.25648617674716
WASP36B.2025-02-17.0182_reduced.fits,543,406,1590.5161427638388,362.11377097776534,446,362,271.87077535822783,342.1061179641743,541,616,2887.1563308579657,366.3979696322869,683,441,298.7714457679456,350.0526290594303
WASP36B.2025-02-17.0185_reduced.fits,543,406,1473.3710561516657,351.7263747884182,446,362,248.13025851394127,336.69564560595677,541,616,2711.4618179314707,361.1410804326676,683,441,269.3997268563662,331.26474242921364
WASP36B.2025-02-17.0190_reduced.fits,543,406,1559.710977227975,376.88495718346906,446,362,250.7461239837962,333.97922810356226,541,616,2782.709900923797,368.7376771521439,683,441,280.5956687426897,344.77495511236407
WASP36B.2025-02-17.0168_reduced.fits,543,406,1668.6718450819774,379.441274309833,446,362,272.46076177773864,334.01173548611314,541,616,3082.806104802954,383.6851101364523,683,441,305.51680505762835,336.78085503269887
WASP36B.2025-02-17.0158_reduced.fits,543,406,1721.5093903858212,398.27642265368746,446,362,278.0469745463255,334.02009768158234,541,616,3006.79642309784,383.58604518245494,683,441,296.9976155322534,334.0484639931753
WASP36B.2025-02-17.0169_reduced.fits,543,406,1553.06532674559,364.5728749462168,446,362,265.1668391228487,342.096319787691,541,616,2925.128324747979,383.4795769794873,683,441,286.2692139183582,334.03240545579683
WASP36B.2025-02-17.0196_reduced.fits,543,406,1603.8913819937502,379.3559017423898,446,362,272.448638472377,350.0150286832317,541,616,2873.351517250399,373.7740143850914,683,441,308.1736632165764,367.85511705654176
WASP36B.2025-02-17.0191_reduced.fits,543,406,1499.3868002660327,364.49924913512547,446,362,246.39367158050072,328.4644192155168,541,616,2728.0513435630232,368.66355392715167,683,441,268.65093659682407,336.72611785855713
WASP36B.2025-02-17.0184_reduced.fits,543,406,1594.2719356766102,376.93080520121185,446,362,258.571487059774,339.40955765768956,541,616,2854.665581422308,371.3002545957756,683,441,287.9206586269575,344.7855778054194
WASP36B.2025-02-17.0183_reduced.fits,543,406,1684.0463564854367,377.04987247106016,446,362,286.8121580114601,355.20948957667764,541,616,3073.294280251434,383.67271458349757,683,441,320.1692448873428,365.38326986265014
WASP36B.2025-02-17.0189_reduced.fits,543,406,1580.9045738302036,384.10520829621584,446,362,261.0614475288467,349.9987615880662,541,616,2834.539351542143,378.5724492425452,683,441,287.70190624946406,355.21074200193027
WASP36B.2025-02-17.0176_reduced.fits,543,406,1534.4832450077995,374.423015302391,446,362,254.717324102132,347.37348799084066,541,616,2827.0205245455013,383.35163774290055,683,441,279.1791063602549,347.40869583414405
WASP36B.2025-02-17.0171_reduced.fits,543,406,1683.781230633071,381.857615959472,446,362,279.70750052207205,336.7425351986591,541,616,3110.222126761189,383.72083571573194,683,441,307.77488419362277,350.06548894434707
WASP36B.2025-02-17.0131_reduced.fits,543,406,1637.7715868587586,374.560919918223,446,362,264.8678741818033,325.7036997983864,541,616,2994.5150394443344,383.57003620598795,683,441,292.7696474825229,342.13666102983154
WASP36B.2025-02-17.0164_reduced.fits,543,406,1716.6067091293714,393.6626836504839,446,362,288.3440860849421,352.6341795438535,541,616,3123.873070362861,386.10850746495083,683,441,318.12251003983647,355.2535599221382
WASP36B.2025-02-17.0163_reduced.fits,543,406,1649.0495909671263,377.0034609455521,446,362,287.5063399382917,352.6329917015991,541,616,3113.3258435002476,390.79167080633977,683,441,308.329089306868,347.4506467458759
WASP36B.2025-02-17.0155_reduced.fits,543,406,1579.4385738135913,374.48304329694326,446,362,280.0657691698538,352.6224415230143,541,616,3080.600578893827,399.9789994866314,683,441,286.08852431846407,344.7829208767575
WASP36B.2025-02-17.0152_reduced.fits,543,406,1612.2413671500326,362.1437675235122,446,362,275.8966000895002,331.2745484487548,541,616,3010.356738523621,366.56605483640715,683,441,307.251038905436,344.8136091323766
WASP36B.2025-02-17.0147_reduced.fits,543,406,1721.9799933667548,381.90762970774136,446,362,296.5997431527023,350.0495270798175,541,616,3209.5912636563467,386.2194942388402,683,441,317.5526600666182,350.07945430390197
WASP36B.2025-02-17.0140_reduced.fits,543,406,1039.8264396700936,312.6269573688307,446,362,153.8152580421201,277.09324450972804,541,616,1907.927235667881,322.60976699750165,683,441,190.5735745411922,308.3211195778407
WASP36B.2025-02-17.0162_reduced.fits,543,406,1760.2071255755654,381.95767404411987,446,362,305.955825080695,352.65915034429844,541,616,3276.23917696177,388.65999855174385,683,441,329.7473134547046,350.0968708502061
WASP36B.2025-02-17.0165_reduced.fits,543,406,1725.9125864079995,374.6785605416124,446,362,293.64693840489105,347.4295177057146,541,616,3224.205294828957,383.86933054158874,683,441,324.08119289021073,347.4733141231291
WASP36B.2025-02-17.0130_reduced.fits,543,406,1794.158863511134,393.7611720996406,446,362,294.30538678921863,342.1389053585525,541,616,3245.1196494272676,393.28662907397234,683,441,324.8883918423529,352.68599190827547
WASP36B.2025-02-17.0170_reduced.fits,543,406,1441.1242629158971,371.85317878863424,446,362,237.5587239053255,336.67994629232584,541,616,2647.3736478941933,368.55411854777725,683,441,264.3454799493118,347.3873462214332
WASP36B.2025-02-17.0177_reduced.fits,543,406,1588.6796382267785,379.3358517765157,446,362,262.14295546545077,344.7481935550285,541,616,2928.789648171961,390.5554938498271,683,441,289.016922973285,350.0386958446515
WASP36B.2025-02-17.0188_reduced.fits,543,406,1526.9774429964202,376.84152825419034,446,362,259.9513275844838,360.2718672288444,541,616,2813.256564229347,388.0639275448172,683,441,269.4290226932665,344.7587606235456
WASP36B.2025-02-17.0141_reduced.fits,543,406,558.0890833713654,214.87044900157102,446,362,87.48592808940674,195.96150483075064,541,616,1101.6817836526213,228.44309805049886,683,441,101.00978994692154,209.49410905770517
WASP36B.2025-02-17.0146_reduced.fits,543,406,1662.3721454998242,379.43297293499387,446,362,281.0775739643106,342.11957375619954,541,616,3099.771672820295,383.7072182125831,683,441,300.20774758140857,344.8033957947215
WASP36B.2025-02-17.0153_reduced.fits,543,406,1681.4971459883975,386.6029648661119,446,362,288.3672655948916,355.2116785705494,541,616,3122.0383252628644,386.10613151271247,683,441,312.85179545430384,357.8047930835993
WASP36B.2025-02-17.0154_reduced.fits,543,406,1618.413365530827,381.7720144289644,446,362,267.745979368043,339.4230727597886,541,616,2998.5757390843137,381.18969627191166,683,441,291.33187054787095,342.1345598499327
